Project Title,Film Type,Section,Events::c.event_display.txt
Wounded Knee,Documentary Feature,Spectrum,2009 - Sundance Film Festival
The Yes Men Fix the World,Documentary Feature,Spectrum,2009 - Sundance Film Festival
Chameleon Street,Dramatic Feature,Sundance Collection,2009 - Sundance Film Festival
"sex, lies, and videotape",Dramatic Feature,Sundance Collection,2009 - Sundance Film Festival
211: Anna,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Afghan Star,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Big River Man,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Burma VJ,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
The End of the Line,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
The Glass House,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Kimjongilia,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Let's Make Money,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Nollywood Babylon,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Old Partner,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Prom Night in Mississippi,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
The Queen and I,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Quest for Honor,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Rough Aunties,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Thriller in Manila,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Tibet in Song,Documentary Feature,World Cinema Competition: Documentary,2009 - Sundance Film Festival
Before Tomorrow,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
Bronson,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
"Carmo, Hit the Road",Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
Cliente,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
The Clone Returns Home,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
Dada's Dance,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
An Education,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
Five Minutes of Heaven,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
Heart of Time,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
Louise-Michel,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
Lulu and Jimi,,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
The Maid,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
One Day in a Life,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
Unmade Beds,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
Victoria Day,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
Zion and His Brother,Dramatic Feature,World Cinema Competition: Dramatic,2009 - Sundance Film Festival
Cold Souls,Dramatic Feature,Dramatic Competition,2009 - Sundance Film Festival
The Killer Inside Me,Dramatic Feature,Premieres,2010 - Sundance Film Festival
Skateland,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
The Freebie,Dramatic Feature,NEXT,2010 - Sundance Film Festival
Obselidia,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
Winter's Bone,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
Restrepo,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
Smash His Camera,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
Bhutto,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
Son of Babylon,Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
Sins of My Father,Documentary Feature,World Cinema Documentary Competition,2010 - Sundance Film Festival
To Catch a Dollar: Muhammad Yunus Banks on America,Documentary Feature,Spotlight,2010 - Sundance Film Festival
Animal Kingdom,Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
Secrets of the Tribe,Documentary Feature,World Cinema Documentary Competition,2010 - Sundance Film Festival
The Imperialists Are Still Alive!,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
The Dry Land,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
HOWL,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
3 Backyards,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
8: The Mormon Proposition,Documentary Feature,Spotlight,2010 - Sundance Film Festival
The Tillman Story,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
Life 2.0,Documentary Feature,Spotlight,2010 - Sundance Film Festival
The Oath,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
Utopia in Four Movements,Documentary Feature,New Frontier Feature,2010 - Sundance Film Festival
Splice,Dramatic Feature,Park City at Midnight,2010 - Sundance Film Festival
Enter the Void,Dramatic Feature,Spotlight,2010 - Sundance Film Festival
Daddy Longlegs,Dramatic Feature,Spotlight,2010 - Sundance Film Festival
Louis C.K.: Hilarious,Dramatic Feature,Spotlight,2010 - Sundance Film Festival
One Too Many Mornings,Dramatic Feature,NEXT,2010 - Sundance Film Festival
New Low,Dramatic Feature,NEXT,2010 - Sundance Film Festival
Lovers of Hate,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
Holy Rollers,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
Douchebag,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
Cane Toads: The Conquest,Documentary Feature,Premieres,2010 - Sundance Film Festival
WAITING FOR SUPERMAN,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
CASINO JACK and the United States of Money,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
7 Days,Dramatic Feature,Park City at Midnight,2010 - Sundance Film Festival
Boy,Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
All That I Love,Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
Pepperminta,Dramatic Feature,New Frontier Feature,2010 - Sundance Film Festival
Four Lions,Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
Last Train Home,Documentary Feature,World Cinema Documentary Competition,2010 - Sundance Film Festival
Space Tourists,Documentary Feature,World Cinema Documentary Competition,2010 - Sundance Film Festival
Night Catches Us,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
Blue Valentine,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
Teenage Paparazzo,Documentary Feature,Spotlight,2010 - Sundance Film Festival
Lucky,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
12th & Delaware,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
Winning Time: Reggie Miller vs. the New York Knicks,Documentary Feature,Spotlight,2010 - Sundance Film Festival
Family Affair,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
Bran Nue Dae,Dramatic Feature,Spotlight,2010 - Sundance Film Festival
I Am Love,Dramatic Feature,Spotlight,2010 - Sundance Film Festival
Frozen,Dramatic Feature,Park City at Midnight,2010 - Sundance Film Festival
Homewrecker,Dramatic Feature,NEXT,2010 - Sundance Film Festival
Sympathy for Delicious,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
Joan Rivers?A Piece Of Work,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
Contracorriente (Undertow),Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
Southern District,Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
Tucker & Dale vs. Evil,Dramatic Feature,Park City at Midnight,2010 - Sundance Film Festival
His & Hers,Documentary Feature,World Cinema Documentary Competition,2010 - Sundance Film Festival
The Red Chapel,Documentary Feature,World Cinema Documentary Competition,2010 - Sundance Film Festival
Armless,Dramatic Feature,NEXT,2010 - Sundance Film Festival
HIGH school,Dramatic Feature,Park City at Midnight,2010 - Sundance Film Festival
happythankyoumoreplease,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
Climate Refugees,Documentary Feature,Spotlight,2010 - Sundance Film Festival
A Small Act,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
Catfish,Documentary Feature,Spotlight,2010 - Sundance Film Festival
Nuummioq,Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
Nowhere Boy,Dramatic Feature,Premieres,2010 - Sundance Film Festival
Double Take,Documentary Feature,New Frontier Feature,2010 - Sundance Film Festival
Waste Land,Documentary Feature,World Cinema Documentary Competition,2010 - Sundance Film Festival
Buried,Dramatic Feature,Park City at Midnight,2010 - Sundance Film Festival
Twelve,Dramatic Feature,Premieres,2010 - Sundance Film Festival
The Taqwacores,Dramatic Feature,NEXT,2010 - Sundance Film Festival
Bass Ackwards,Dramatic Feature,NEXT,2010 - Sundance Film Festival
Please Give,Dramatic Feature,Premieres,2010 - Sundance Film Festival
ODDSAC,Dramatic Feature,New Frontier Feature,2010 - Sundance Film Festival
My Perestroika,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
Freedom Riders,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
Jean-Michel Basquiat: The Radiant Child,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
GASLAND,Documentary Feature,U.S. Documentary Competition,2010 - Sundance Film Festival
Fix ME,Documentary Feature,World Cinema Documentary Competition,2010 - Sundance Film Festival
Me Too,Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
Enemies of the People,Documentary Feature,World Cinema Documentary Competition,2010 - Sundance Film Festival
Russian Lessons,Documentary Feature,World Cinema Documentary Competition,2010 - Sundance Film Festival
A Film Unfinished,Documentary Feature,World Cinema Documentary Competition,2010 - Sundance Film Festival
Kick in Iran,Documentary Feature,World Cinema Documentary Competition,2010 - Sundance Film Festival
Bilal's Stand,Dramatic Feature,NEXT,2010 - Sundance Film Festival
Women Without Men,Dramatic Feature,Spotlight,2010 - Sundance Film Festival
The Perfect Host,Dramatic Feature,Park City at Midnight,2010 - Sundance Film Festival
Hesher,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
Jack Goes Boating,Dramatic Feature,Premieres,2010 - Sundance Film Festival
Vegetarian,Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
Peepli Live,Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
The Temptation of St. Tony,Documentary Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
Cyrus,Dramatic Feature,Premieres,2010 - Sundance Film Festival
The Shock Doctrine,Documentary Feature,Premieres,2010 - Sundance Film Festival
The Extra Man,Dramatic Feature,Premieres,2010 - Sundance Film Festival
The Company Men,Dramatic Feature,Premieres,2010 - Sundance Film Festival
The Runaways,Dramatic Feature,Premieres,2010 - Sundance Film Festival
Abel,Dramatic Feature,Premieres,2010 - Sundance Film Festival
Get Low,Dramatic Feature,Premieres,2010 - Sundance Film Festival
Mother & Child,Dramatic Feature,Spotlight,2010 - Sundance Film Festival
A Prophet,Dramatic Feature,Spotlight,2010 - Sundance Film Festival
Lourdes,Dramatic Feature,Spotlight,2010 - Sundance Film Festival
Welcome to the Rileys,Dramatic Feature,U.S. Dramatic Competition,2010 - Sundance Film Festival
The Man Next Door,Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
The Violent Kind,Dramatic Feature,Park City at Midnight,2010 - Sundance Film Festival
Memories of Overdevelopment,Dramatic Feature,New Frontier Feature,2010 - Sundance Film Festival
Countdown to Zero,Documentary Feature,Spotlight,2010 - Sundance Film Festival
Grown Up Movie Star,Dramatic Feature,World Cinema Dramatic Competition,2010 - Sundance Film Festival
Metropolitan,Dramatic Feature,From the Collection,2010 - Sundance Film Festival
Poison,,From the Collection,2010 - Sundance Film Festival
All My Friends Are Funeral Singers,Dramatic Feature,New Frontier Feature,2010 - Sundance Film Festival
Harold and Maude,Dramatic Feature,From the Collection,2010 - Sundance Film Festival
The Romantics,Dramatic Feature,Premieres,2010 - Sundance Film Festival
The Kids Are All Right,Dramatic Feature,Premieres,2010 - Sundance Film Festival
It's a Wonderful Afterlife,Dramatic Feature,Premieres,2010 - Sundance Film Festival
Exit Through the Gift Shop,Documentary Feature,Spotlight,2010 - Sundance Film Festival
Mad Bastards,International Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
Hobo with a Shotgun,International Narrative Feature Films,Park City at Midnight,2011 - Sundance Film Festival
The Salesman,International Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
Elite Squad 2,International Narrative Feature Films,Spotlight,2011 - Sundance Film Festival
An African Election,International Documentary Feature Films,World Cinema Documentary Competition,2011 - Sundance Film Festival
Family Portrait in Black and White,International Documentary Feature Films,World Cinema Documentary Competition,2011 - Sundance Film Festival
The Lie,U.S. Narrative Feature Films,NEXT,2011 - Sundance Film Festival
Homework,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
Vampire,U.S. Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
Red State,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
Win Win,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
BEING ELMO: A Puppeteer's Journey,U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
Becoming Chaz,U.S. Documentary Feature Films,Doc Premieres,2011 - Sundance Film Festival
The Last Mountain,U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
Restoration,International Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
The Cinema Hold Up,International Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
KNUCKLE,International Documentary Feature Films,World Cinema Documentary Competition,2011 - Sundance Film Festival
The Bengali Detective,International Documentary Feature Films,World Cinema Documentary Competition,2011 - Sundance Film Festival
Circumstance,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
My Idiot Brother,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
The Off Hours,U.S. Narrative Feature Films,NEXT,2011 - Sundance Film Festival
I Melt with You,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
Letters from the Big Man,U.S. Narrative Feature Films,Spotlight,2011 - Sundance Film Festival
Meek's Cutoff,U.S. Narrative Feature Films,Spotlight,2011 - Sundance Film Festival
Salvation Boulevard,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
Reagan,U.S. Documentary Feature Films,Doc Premieres,2011 - Sundance Film Festival
Lost Kisses,International Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
The Black Power Mixtape 1967?1975,International Documentary Feature Films,World Cinema Documentary Competition,2011 - Sundance Film Festival
Senna,International Documentary Feature Films,World Cinema Documentary Competition,2011 - Sundance Film Festival
Margin Call,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
Sound of My Voice,U.S. Narrative Feature Films,NEXT,2011 - Sundance Film Festival
The Son of No One,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
The Redemption of General Butt Naked,U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
We Were Here,U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
Submarine,International Narrative Feature Films,Spotlight,2011 - Sundance Film Festival
All Your Dead Ones,International Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
Incendies,International Narrative Feature Films,Spotlight,2011 - Sundance Film Festival
On the Ice,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
The Convincer,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
"Connected: An Autoblogography about Love, Death and Technology",U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
ATTENBERG,International Narrative Feature Films,Spotlight,2011 - Sundance Film Festival
Ticket to Paradise,International Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
Position Among the Stars,International Documentary Feature Films,World Cinema Documentary Competition,2011 - Sundance Film Festival
Project Nim,International Documentary Feature Films,World Cinema Documentary Competition,2011 - Sundance Film Festival
Uncle Kent,U.S. Narrative Feature Films,Spotlight,2011 - Sundance Film Festival
The Oregonian,U.S. Narrative Feature Films,Park City at Midnight,2011 - Sundance Film Festival
Septien,U.S. Narrative Feature Films,Park City at Midnight,2011 - Sundance Film Festival
Prairie Love,U.S. Narrative Feature Films,NEXT,2011 - Sundance Film Festival
Like Crazy,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
Benavides Born,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
Kinyarwanda,U.S. Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
Martha Marcy May Marlene,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
Restless City,U.S. Narrative Feature Films,NEXT,2011 - Sundance Film Festival
How to Die in Oregon,U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
GRAB,U.S. Documentary Feature Films,Indigenous Showcase,2011 - Sundance Film Festival
"Beats, Rhymes & Life: The Travels of A Tribe Called Quest",U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
The Interrupters,U.S. Documentary Feature Films,Doc Premieres,2011 - Sundance Film Festival
The Flaw,International Documentary Feature Films,World Cinema Documentary Competition,2011 - Sundance Film Festival
Higher Ground,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
to.get.her,U.S. Narrative Feature Films,NEXT,2011 - Sundance Film Festival
The Catechism Cataclysm,U.S. Narrative Feature Films,Park City at Midnight,2011 - Sundance Film Festival
Gun Hill Road,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
Pariah,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
Bellflower,U.S. Narrative Feature Films,NEXT,2011 - Sundance Film Festival
Another Happy Day,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
The Future,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
Cedar Rapids,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
Crime After Crime,U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
Granito,U.S. Documentary Feature Films,Doc Premieres,2011 - Sundance Film Festival
Troubadours,U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
Buck,U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
These Amazing Shadows,U.S. Documentary Feature Films,Doc Premieres,2011 - Sundance Film Festival
Corman's World: Exploits of a Hollywood Rebel,U.S. Documentary Feature Films,Park City at Midnight,2011 - Sundance Film Festival
Bobby Fischer Against the World,U.S. Documentary Feature Films,Doc Premieres,2011 - Sundance Film Festival
Perfect Sense,International Narrative Feature Films,Premieres,2011 - Sundance Film Festival
Shut Up Little Man! An Audio Misadventure,International Documentary Feature Films,World Cinema Documentary Competition,2011 - Sundance Film Festival
Another Earth,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
The Music Never Stopped,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
The Woman,U.S. Narrative Feature Films,Park City at Midnight,2011 - Sundance Film Festival
Take Shelter,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
The Greatest Movie Ever Sold,U.S. Documentary Feature Films,Doc Premieres,2011 - Sundance Film Festival
Old Cats,International Narrative Feature Films,Spotlight,2011 - Sundance Film Festival
Tyrannosaur,International Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
The Guard,International Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
The Devil's Double,International Narrative Feature Films,Premieres,2011 - Sundance Film Festival
The Troll Hunter,International Narrative Feature Films,Park City at Midnight,2011 - Sundance Film Festival
Abraxas,International Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
In a Better World,International Narrative Feature Films,Spotlight,2011 - Sundance Film Festival
The Green Wave,International Documentary Feature Films,World Cinema Documentary Competition,2011 - Sundance Film Festival
The Details,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
Terri,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
Codependent Lesbian Space Alien Seeks Same,U.S. Narrative Feature Films,Park City at Midnight,2011 - Sundance Film Festival
Hot Coffee,U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
Resurrect Dead: The Mystery of the Toynbee Tiles,U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
"Happy, Happy",International Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
!Women Art Revolution,U.S. Documentary Feature Films,New Frontier Feature,2011 - Sundance Film Festival
The Nine Muses,International Documentary Feature Films,New Frontier Feature,2011 - Sundance Film Festival
Rebirth,U.S. Documentary Feature Films,Doc Premieres,2011 - Sundance Film Festival
If a Tree Falls: A Story of the Earth Liberation Front,US Documentary Feature,U.S. Documentary Competition,2011 - Sundance Film Festival
A Few Days of Respite,International Narrative Feature Films,World Cinema Dramatic Competition,2011 - Sundance Film Festival
Miss Representation,U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
THE MILL & THE CROSS,International Narrative Feature Films,New Frontier Feature,2011 - Sundance Film Festival
Lord Byron,U.S. Narrative Feature Films,NEXT,2011 - Sundance Film Festival
Jess + Moss,U.S. Narrative Feature Films,New Frontier Feature,2011 - Sundance Film Festival
Hell and Back Again,International Documentary Feature,World Cinema Documentary Competition,2011 - Sundance Film Festival
Kaboom,US Narrative Feature,Spotlight,2011 - Sundance Film Festival
I Saw the Devil,International Narrative Feature,Spotlight,2011 - Sundance Film Festival
Sing Your Song,US Documentary Feature,U.S. Documentary Competition,2011 - Sundance Film Festival
The Woods,U.S. Narrative Feature Films,New Frontier Feature,2011 - Sundance Film Festival
HERE,US Narrative Feature,U.S. Dramatic Competition,2011 - Sundance Film Festival
Little Birds,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
Life in a Day,International Documentary Feature Films,Premieres,2011 - Sundance Film Festival
The Ledge,U.S. Narrative Feature Films,U.S. Dramatic Competition,2011 - Sundance Film Festival
Flypaper,U.S. Narrative Feature Films,Premieres,2011 - Sundance Film Festival
Magic Trip,U.S. Documentary Feature Films,Doc Premieres,2011 - Sundance Film Festival
Silent House,US Narrative Feature,Park City at Midnight,2011 - Sundance Film Festival
Slacker,US Narrative Feature,Sundance Collection,2011 - Sundance Film Festival
Page One: A Year Inside the New York Times,U.S. Documentary Feature Films,U.S. Documentary Competition,2011 - Sundance Film Festival
2 Days in New York,International Narrative Feature Films,Premieres,2012 - Sundance Film Festival
Young & Wild,International Narrative Feature Films,World Cinema Dramatic Competition,2012 - Sundance Film Festival
SOMETHING FROM NOTHING: THE ART OF RAP,International Documentary Feature Films,Doc Premieres,2012 - Sundance Film Festival
LUV,US Narrative Feature,U.S. Dramatic Competition,2012 - Sundance Film Festival
Liberal Arts,U.S. Narrative Feature Films,Premieres,2012 - Sundance Film Festival
Smashed,U.S. Narrative Feature Films,U.S. Dramatic Competition,2012 - Sundance Film Festival
Middle of Nowhere,U.S. Narrative Feature Films,U.S. Dramatic Competition,2012 - Sundance Film Festival
West of Memphis,U.S. Documentary Feature Films,Doc Premieres,2012 - Sundance Film Festival
The Queen of Versailles,U.S. Documentary Feature Films,U.S. Documentary Competition,2012 - Sundance Film Festival
Wish You Were Here,International Narrative Feature Films,World Cinema Dramatic Competition,2012 - Sundance Film Festival
Four Suns,International Narrative Feature Films,World Cinema Dramatic Competition,2012 - Sundance Film Festival
Indie Game: The Movie,International Documentary Feature Films,World Cinema Documentary Competition,2012 - Sundance Film Festival
Payback,International Documentary Feature Films,World Cinema Documentary Competition,2012 - Sundance Film Festival
Simon Killer,U.S. Narrative Feature Films,U.S. Dramatic Competition,2012 - Sundance Film Festival
Hello I Must Be Going,U.S. Narrative Feature Films,U.S. Dramatic Competition,2012 - Sundance Film Festival
Valley of Saints,International Narrative Feature,World Cinema Dramatic Competition,2012 - Sundance Film Festival
Arbitrage,U.S. Narrative Feature Films,Premieres,2012 - Sundance Film Festival
"For a Good Time, Call . . .",U.S. Narrative Feature Films,Premieres,2012 - Sundance Film Festival
A Fierce Green Fire,U.S. Documentary Feature Films,Doc Premieres,2012 - Sundance Film Festival
Slavery by Another Name,U.S. Documentary Feature Films,U.S. Documentary Competition,2012 - Sundance Film Festival
ETHEL,U.S. Documentary Feature Films,Doc Premieres,2012 - Sundance Film Festival
The Law in These Parts,International Documentary Feature Films,World Cinema Documentary Competition,2012 - Sundance Film Festival
Beasts of the Southern Wild,U.S. Narrative Feature Films,U.S. Dramatic Competition,2012 - Sundance Film Festival
The End of Love,U.S. Narrative Feature Films,U.S. Dramatic Competition,2012 - Sundance Film Festival
Wuthering Heights,U.S. Narrative Feature Films,Spotlight,2012 - Sundance Film Festival
Chasing Ice,U.S. Documentary Feature Films,U.S. Documentary Competition,2012 - Sundance Film Festival
Marina Abramovi? The Artist Is Present,U.S. Documentary Feature Films,U.S. Documentary Competition,2012 - Sundance Film Festival
The D Word: Understanding Dyslexia,U.S. Documentary Feature Films,Doc Premieres,2012 - Sundance Film Festival
The Last Elvis,International Narrative Feature Films,World Cinema Dramatic Competition,2012 - Sundance Film Festival
About the Pink Sky,International Narrative Feature Films,World Cinema Dramatic Competition,2012 - Sundance Film Festival
Violeta Went to Heaven,International Narrative Feature Films,World Cinema Dramatic Competition,2012 - Sundance Film Festival
L,International Narrative Feature Films,World Cinema Dramatic Competition,2012 - Sundance Film Festival
"Madrid, 1987",International Narrative Feature Films,World Cinema Dramatic Competition,2012 - Sundance Film Festival
Monsieur Lazhar,International Narrative Feature Films,Spotlight,2012 - Sundance Film Festival
BIG BOYS GONE BANANAS!*,International Documentary Feature Films,World Cinema Documentary Competition,2012 - Sundance Film Festival
« REVOLUTION,International Documentary Feature Films,World Cinema Documentary Competition,2012 - Sundance Film Festival
COMPLIANCE,U.S. Narrative Feature Films,NEXT,2012 - Sundance Film Festival
The Surrogate,U.S. Narrative Feature Films,U.S. Dramatic Competition,2012 - Sundance Film Festival
LAY THE FAVORITE,U.S. Narrative Feature Films,Premieres,2012 - Sundance Film Festival
The Other Dream Team,U.S. Documentary Feature Films,U.S. Documentary Competition,2012 - Sundance Film Festival
Finding North,U.S. Documentary Feature Films,U.S. Documentary Competition,2012 - Sundance Film Festival
"About Face: The Supermodels, Then and Now.",U.S. Documentary Feature Films,Doc Premieres,2012 - Sundance Film Festival
We're Not Broke,U.S. Documentary Feature Films,U.S. Documentary Competition,2012 - Sundance Film Festival
ME @THE ZOO_,U.S. Documentary Feature Films,U.S. Documentary Competition,2012 - Sundance Film Festival
The Invisible War,U.S. Documentary Feature Films,U.S. Documentary Competition,2012 - Sundance Film Festival
GYPSY DAVY,International Documentary Feature Films,World Cinema Documentary Competition,2012 - Sundance Film Festival
5 Broken Cameras,International Documentary Feature Films,World Cinema Documentary Competition,2012 - Sundance Film Festival
SEARCHING FOR SUGAR MAN,International Documentary Feature Films,World Cinema Documentary Competition,2012 - Sundance Film Festival
